[2026-04-08 16:30:20] INFO     | trading.db             | Database ready at /Users/rishabhmaniyar/Downloads/trading_framework/data/trading.db
[2026-04-08 16:30:27] DEBUG    | ib_insync.client       | <<< 6,2,LookAheadInitMarginReq-P,0.00,USD,DUM165609
[2026-04-08 16:30:27] DEBUG    | ib_insync.client       | <<< 6,2,LookAheadInitMarginReq-S,6460.13,USD,DUM165609
[2026-04-08 16:30:27] DEBUG    | ib_insync.client       | <<< 6,2,LookAheadMaintMarginReq,5239.03,USD,DUM165609
[2026-04-08 16:30:27] DEBUG    | ib_insync.client       | <<< 6,2,LookAheadMaintMarginReq-P,0.00,USD,DUM165609
[2026-04-08 16:30:27] DEBUG    | ib_insync.client       | <<< 6,2,LookAheadMaintMarginReq-S,5239.03,USD,DUM165609
[2026-04-08 16:30:27] DEBUG    | ib_insync.client       | <<< 6,2,LookAheadNextChange,1775655000,,DUM165609
[2026-04-08 16:30:27] DEBUG    | ib_insync.client       | <<< 6,2,MaintMarginReq,7484.32,USD,DUM165609
[2026-04-08 16:30:27] DEBUG    | ib_insync.client       | <<< 6,2,MaintMarginReq-P,0.00,USD,DUM165609
[2026-04-08 16:30:27] DEBUG    | ib_insync.client       | <<< 6,2,MaintMarginReq-S,7484.32,USD,DUM165609
[2026-04-08 16:30:27] DEBUG    | ib_insync.client       | <<< 6,2,MoneyMarketFundValue,0.00,BASE,DUM165609
[2026-04-08 16:30:27] DEBUG    | ib_insync.client       | <<< 6,2,MoneyMarketFundValue,0.00,USD,DUM165609
[2026-04-08 16:30:27] DEBUG    | ib_insync.client       | <<< 6,2,MutualFundValue,0.00,BASE,DUM165609
[2026-04-08 16:30:27] DEBUG    | ib_insync.client       | <<< 6,2,MutualFundValue,0.00,USD,DUM165609
[2026-04-08 16:30:27] DEBUG    | ib_insync.client       | <<< 6,2,NLVAndMarginInReview,false,,DUM165609
[2026-04-08 16:30:27] DEBUG    | ib_insync.client       | <<< 6,2,NetDividend,0.00,BASE,DUM165609
[2026-04-08 16:30:27] DEBUG    | ib_insync.client       | <<< 6,2,NetDividend,0.00,USD,DUM165609
[2026-04-08 16:30:27] DEBUG    | ib_insync.client       | <<< 6,2,NetLiquidation,245505.22,USD,DUM165609
[2026-04-08 16:30:27] DEBUG    | ib_insync.client       | <<< 6,2,NetLiquidation-P,0.00,USD,DUM165609
[2026-04-08 16:30:27] DEBUG    | ib_insync.client       | <<< 6,2,NetLiquidation-S,245505.22,USD,DUM165609
[2026-04-08 16:30:27] DEBUG    | ib_insync.client       | <<< 6,2,NetLiquidationByCurrency,245505.2215,BASE,DUM165609
[2026-04-08 16:30:27] DEBUG    | ib_insync.client       | <<< 6,2,NetLiquidationByCurrency,245505.2215,USD,DUM165609
[2026-04-08 16:30:27] DEBUG    | ib_insync.client       | <<< 6,2,NetLiquidationUncertainty,0.00,USD,DUM165609
[2026-04-08 16:30:27] DEBUG    | ib_insync.client       | <<< 6,2,OptionMarketValue,0.00,BASE,DUM165609
[2026-04-08 16:30:27] DEBUG    | ib_insync.client       | <<< 6,2,OptionMarketValue,0.00,USD,DUM165609
